35				
gd1692	0.000213	2		
Egamma	to	probability	p_gamma	
937	gd755	0.159797721	0.996810207	
1348.09	gd344	0.840202279	0.997804829	
				
gd1643	0.01819	5		
Egamma	to	probability	p_gamma	
209.49	gd1434	0.002860594	0.840336134	
520.23	gd1123	0.029672277	0.987166831	
534.248	gd1109	0.023786469	0.988142292	
712.847	gd931	0.052649624	0.997705278	
1299.124	gd344	0.891031035	0.999200639	
				
gd1606	0.00101	6		
Egamma	to	probability	p_gamma	
496.39	gd1109	0.047217694	0.980392157	
558.1	gd1048	0.040273916	0.985221675	
674.678	gd931	0.193295616	0.992161921	
990.2	gd615	0.311687041	0.997207818	
1261.35	gd344	0.331383564	0.997804829	
1605.62	gnd	0.076142169	0.998801438	
				
gd1550	0.00054	2		
Egamma	to	probability	p_gamma	
794.78	gd755	0.63023068	0.992555831	
1206.09	gd344	0.36976932	0.998103603	
				
gd1434	0.02427	4		
Egamma	to	probability	p_gamma	
324.789	gd1109	0.032648514	0.954836246	
503.387	gd931	0.064626575	0.975704947	
678.578	gd755	0.192595711	0.993245928	
1089.7	gd344	0.7101292	0.997705278	
				
gd1318	0.000282	8		
Egamma	to	probability	p_gamma	
195.2	gd1123	0.074259822	0.953834414	
209.3	gd1109	0.005317817	0.819672131	
270.55	gd1048	0.080856094	0.923190547	
387.8	gd931	0.075219863	0.963391137	
563.3	gd755	0.012660817	0.989805008	
703.23	gd615	0.137031853	0.994035785	
974.09	gd344	0.54698321	0.996115151	
1318.2	gnd	0.067670524	0.998402556	
				
gd1315	0.00005	5		
Egamma	to	probability	p_gamma	
191.6	gd1123	0.000588373	0.796178344	
266.91	gd1048	0.000763667	0.920132499	
699.27	gd615	0.044180708	0.994035785	
970.38	gd344	0.36890452	1	
1314.67	gnd	0.585562731	1	
				
gd1282	0.00035	3		
Egamma	to	probability	p_gamma	
172.1	gd1109	0.024803926	0.73046019	
351.67	gd931	0.399374466	0.964041261	
526.886	gd755	0.575821607	0.983284169	
				
gd1123	0.1378	3		
Egamma	to	probability	p_gamma	
192.6	gd931	0.009988929	0.73046019	
367.788	gd755	0.062441571	0.964041261	
778.91	gd344	0.9275695	0.983284169	
				
gd1109	0.0026	3		
Egamma	to	probability	p_gamma	
493.5	gd615	0.025251852	0.986193294	
764.905	gd344	0.475588257	0.994896183	
1109.18	gnd	0.49915989	0.997804829	
				
gd931	0.00315	4		
Egamma	to	probability	p_gamma	
175	gd755	0.005933791	0.741839763	
315.173	gd615	0.089349759	0.950751093	
586.294	gd344	0.78230657	0.987166831	
930.584	gnd	0.12240988	0.996800271	
				
gd1048	0	4		
Egamma	to	probability	p_gamma	
117.3	gd931	0.319883196	0.414937759	
432.5	gd615	0.138040881	0	
703.23	gd344	0.534112025	0.994035785	
1047.9	gnd	0.007963897	0	
				
gd755	0.009	1		
Egamma	to	probability	p_gamma	
411.115	gd344	1	0.976753272	
				
gd615	0	2		
Egamma	to	probability	p_gamma	
271.135	gd344	0.998800627	0.923702198	
615.4	gnd	0.001199373	0	
				
gd344	0.081	1		
Egamma	to	probability	p_gamma	
344.281	gnd	1	0.961815908	
				
sm1769	0.00066	6		
Egamma	to	probability	p_gamma	
239.4	sm1530	0.008000798	0.896700143	
536	sm1234	0.112794613	0.989413278	
805.72	sm963	0.22409378	0.996015936	
958.6	sm810	0.399768891	0.997008973	
1647.31	sm122	0.103732654	0.999000999	
1769.09	gnd	0.151609263	0.999000999	
				
sm1757	0.00047	5		
Egamma	to	probability	p_gamma	
385.52	sm1372	0.147663769	0.974184121	
523.13	sm1234	0.043380097	0.988738271	
671.151	sm1086	0.666633848	0.989853997	
1390.4	sm366	0.138094637	0.998683735	
1635.2	sm122	0.00422765	0.998940125	
				
sm1730	0.000423	4		
Egamma	to	probability	p_gamma	
496.39	sm1234	0.208334567	0.987088877	
644.38	sm1086	0.132145994	0.99331499	
1363.78	sm366	0.547316897	0.999288507	
1608.36	sm122	0.112202543	0.99926554	
				
sm1650	0.00923	6		
Egamma	to	probability	p_gamma	
357.26	sm1293	0.005438318	0.967960507	
416.052	sm1234	0.127415993	0.979144228	
564.021	sm1086	0.528260693	0.996492347	
686.61	sm963	0.02170725	0.994263102	
839.37	sm810	0.018491151	0.996383129	
1528.115	sm122	0.298686596	0.999285511	
				
sm1613	0.000211	3		
Egamma	to	probability	p_gamma	
391.22	sm1222	0.060309085	0.975324295	
5711.83	sm1041	0.22882952	0.991040989	
906.02	sm707	0.710861395	0.996939396	
				
sm1579	0.02085	8		
Egamma	to	probability	p_gamma	
207.71	sm1372	0.002502097	0.844594595	
493.503	sm1086	0.015472773	0.986894047	
538.29	sm1041	0.002066684	0.989550348	
556.56	sm1023	0.0093609	0.990402995	
616.05	sm963	0.004395575	0.992555831	
768.947	sm810	0.04382181	0.995589538	
1212.95	sm366	0.682248046	0.999190656	
1457.628	sm122	0.240132115	0.999270533	
				
sm1530	0.2492	6		
Egamma	to	probability	p_gamma	
295.939	sm1234	0.018080034	0.984998473	
443.976	sm1086	0.11289104	0.994361968	
488.66	sm1041	0.016746726	0.982781665	
566.421	sm963	0.005303407	0.986709029	
719.353	sm810	0.002367909	0.998033873	
1408.011	sm122	0.844610884	0.999299491	
				
sm1372	0.00859	6		
Egamma	to	probability	p_gamma	
285.98	sm1086	0.012431456	0.938702713	
330.54	sm1041	0.082955178	0.959877136	
561.2	sm810	0.001108734	0.990589401	
664.78	sm707	0.020031112	0.99378882	
1005.279	sm366	0.688215622	0.997416691	
1249.946	sm122	0.195257898	0.998414518	
				
sm1293	0.00658	7		
Egamma	to	probability	p_gamma	
251.628	sm1041	0.107715431	0.910663874	
269.86	sm1023	0.013895226	0.927299703	
329.433	sm963	0.201431807	0.959508732	
482.3	sm810	0.043201456	0.981354269	
926.324	sm366	0.416864248	0.99707856	
1170.97	sm122	0.056213267	0.998203234	
1292.784	gnd	0.160678567	0.998512217	
				
sm1234	0.1741	4		
Egamma	to	probability	p_gamma	
148.013	sm1086	0.003491404	0.631711939	
423.45	sm810	0.000155195	0.980103891	
867.388	sm366	0.234286184	0.996581725	
1112.116	sm122	0.762067216	0.997994032	
				
sm1222	0	2		
Egamma	to	probability	p_gamma	
514.6	sm707	0.195154283	0.988259477	
855	sm366	0.804845717	0.998447414	
				
sm1086	0.2173	4		
Egamma	to	probability	p_gamma	
275.452	sm810	0.001438573	0.931532371	
719.353	sm366	0.010893172	0.994856591	
964.131	sm122	0.584221095	0.997297324	
1085.914	gnd	0.403447161	0.997914359	
				
sm1041	0.00076	2		
Egamma	to	probability	p_gamma	
674.678	sm366	0.287963136	0.997745096	
919.401	sm122	0.712036864	0.998786474	
				
sm1023	0.00237	4		
Egamma	to	probability	p_gamma	
212.569	sm810	0.087292797	0.854481757	
316.2	sm707	0.008620093	0.954380607	
656.484	sm366	0.551983214	0.993611081	
901.186	sm122	0.352103896	0.996899642	
				
sm963	0	3		
Egamma	to	probability	p_gamma	
152.9	sm810	8.33195E-05	0.657462196	
841.586	sm122	0.548582258	0.998564065	
963.37	gnd	0.451334423	0.998893226	
				
sm810	0.013	4		
Egamma	to	probability	p_gamma	
125.7	sm685	0.015792757	0.492125984	
443.976	sm366	0.211868203	0.982588531	
688.678	sm122	0.558325691	0.994302646	
810.459	gnd	0.214013349	0.996085384	
				
sm707	0	1		
Egamma	to	probability	p_gamma	
340.48	sm366	1	0.963205548	
				
sm685   0   1
Egamma	to	probability	p_gamma	
562.98  sm122   1   0.990589401

sm366	0.009	1		
Egamma	to	probability	p_gamma	
244.6989	sm122	1	0.903097625	
				
sm122	0.0074	1		
Egamma	to	probability	p_gamma	
121.7824	gnd	1	0.464037123	
